Id,Checking_status,Duration,Credit_history,Purpose,Credit_amount,Savings_status,Employment,Installment_commitment,Personal_status,Other_parties,Residence_since,Property_magnitude,Age,Other_payment_plans,Housing,Existing_credits,Job,Num_dependents,Own_telephone,Foreign_worker,Class
200,0-200,18,delayed previously,furniture/equipment,4297,below 100,above 7,4,male div/sep,none,3,none,40,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
201,above 200,9,critical/other existing credit,education,936,500-1000,above 7,4,male single,none,2,car,52,none,own,2,skilled,1,yes,yes,good
202,above 200,12,existing paid,new car,1168,below 100,1-4,4,male mar/wid,none,3,real estate,27,none,own,1,unskilled resident,1,no,yes,good
203,above 200,27,delayed previously,business,5117,below 100,4-7,3,male single,none,4,car,26,none,own,2,skilled,1,no,yes,good
204,above 200,12,existing paid,retraining,902,below 100,4-7,4,male mar/wid,none,4,life insurance,21,none,rent,1,skilled,1,no,yes,bad
205,above 200,12,critical/other existing credit,new car,1495,below 100,above 7,4,male single,none,1,real estate,38,none,own,2,unskilled resident,2,no,yes,good
206,above 200,30,critical/other existing credit,used car,10623,below 100,above 7,3,male single,none,4,none,38,none,for free,3,high qualif/self emp/mgmt,2,yes,yes,good
207,above 200,12,critical/other existing credit,furniture/equipment,1935,below 100,above 7,4,male single,none,4,real estate,43,none,own,3,skilled,1,yes,yes,good
208,0-200,12,critical/other existing credit,domestic appliance,1424,below 100,4-7,4,male single,none,3,life insurance,26,none,own,1,skilled,1,no,yes,good
209,above 200,24,existing paid,business,6568,below 100,1-4,2,male mar/wid,none,2,car,21,stores,own,1,unskilled resident,1,no,yes,good
210,above 200,12,existing paid,used car,1413,above 1000,4-7,3,male single,none,2,life insurance,55,none,own,1,skilled,1,no,no,good
211,above 200,9,critical/other existing credit,radio/tv,3074,0,1-4,1,male single,none,2,real estate,33,none,own,2,skilled,2,no,yes,good
212,above 200,36,existing paid,radio/tv,3835,0,above 7,2,female div/dep/mar,none,4,real estate,45,none,own,1,unskilled resident,1,yes,yes,good
213,above 200,27,no credits/all paid,business,5293,below 100,0,2,male single,none,4,life insurance,50,stores,own,2,skilled,1,yes,yes,bad
214,above 200,30,delayed previously,business,1908,below 100,above 7,4,male single,none,4,real estate,66,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
215,above 200,36,critical/other existing credit,radio/tv,3342,0,above 7,4,male single,none,2,car,51,none,own,1,skilled,1,yes,yes,good
216,0-200,6,critical/other existing credit,retraining,932,0,4-7,1,female div/dep/mar,none,3,life insurance,39,none,own,2,unskilled resident,1,no,yes,good
217,above 200,18,no credits/all paid,business,3104,below 100,4-7,3,male single,none,1,life insurance,31,bank,own,1,skilled,1,yes,yes,good
218,above 200,36,existing paid,radio/tv,3913,below 100,1-4,2,male single,none,2,real estate,23,none,own,1,skilled,1,yes,yes,good
219,above 200,24,existing paid,furniture/equipment,3021,below 100,1-4,2,male div/sep,none,2,real estate,24,none,rent,1,unskilled resident,1,no,yes,good
220,above 200,10,existing paid,new car,1364,below 100,1-4,2,female div/dep/mar,none,4,car,64,none,own,1,skilled,1,yes,yes,good
221,0-200,12,existing paid,radio/tv,625,below 100,below 1,4,male mar/wid,guarantor,1,real estate,26,bank,own,1,unskilled resident,1,no,yes,good
222,above 200,12,existing paid,education,1200,0,1-4,4,female div/dep/mar,none,4,life insurance,23,bank,rent,1,skilled,1,yes,yes,good
223,above 200,12,existing paid,radio/tv,707,below 100,1-4,4,male single,none,2,real estate,30,bank,own,2,skilled,1,no,yes,good
224,above 200,24,delayed previously,business,2978,0,1-4,4,male single,none,4,real estate,32,none,own,2,skilled,2,yes,yes,good
225,above 200,15,existing paid,used car,4657,below 100,1-4,3,male single,none,2,car,30,none,own,1,skilled,1,yes,yes,good
226,above 200,36,no credits/all paid,repairs,2613,below 100,1-4,4,male single,none,2,car,27,none,own,2,skilled,1,no,yes,good
227,0-200,48,existing paid,radio/tv,10961,above 1000,4-7,1,male single,co applicant,2,none,27,bank,own,2,skilled,1,yes,yes,bad
228,above 200,12,existing paid,furniture/equipment,7865,below 100,above 7,4,male single,none,4,none,53,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,bad
229,above 200,9,existing paid,radio/tv,1478,below 100,4-7,4,male single,none,2,car,22,none,own,1,skilled,1,no,yes,bad
230,above 200,24,existing paid,furniture/equipment,3149,below 100,below 1,4,male single,none,1,none,22,bank,for free,1,skilled,1,no,yes,good
231,above 200,36,existing paid,radio/tv,4210,below 100,1-4,4,male single,none,2,car,26,none,own,1,skilled,1,no,yes,bad
232,above 200,9,existing paid,new car,2507,500-1000,above 7,2,male single,none,4,none,51,none,for free,1,unskilled resident,1,no,yes,good
233,above 200,12,existing paid,radio/tv,2141,100-500,4-7,3,male single,none,1,none,35,none,own,1,skilled,1,no,yes,good
234,0-200,18,existing paid,radio/tv,866,below 100,1-4,4,male mar/wid,guarantor,2,real estate,25,none,own,1,unskilled resident,1,no,yes,good
235,above 200,4,critical/other existing credit,radio/tv,1544,below 100,4-7,2,male single,none,1,real estate,42,none,own,3,unskilled resident,2,no,yes,good
236,above 200,24,existing paid,radio/tv,1823,below 100,0,4,male single,none,2,car,30,stores,own,1,high qualif/self emp/mgmt,2,no,yes,bad
237,0-200,6,existing paid,new car,14555,0,0,1,male single,none,2,life insurance,23,none,own,1,unemp/unskilled non res,1,yes,yes,bad
238,0-200,21,existing paid,business,2767,100-500,above 7,4,male div/sep,none,2,car,61,bank,rent,2,unskilled resident,1,no,yes,bad
239,above 200,12,critical/other existing credit,radio/tv,1291,below 100,1-4,4,female div/dep/mar,none,2,life insurance,35,none,own,2,skilled,1,no,yes,good
240,above 200,30,existing paid,radio/tv,2522,below 100,above 7,1,male single,guarantor,3,life insurance,39,none,own,1,skilled,2,no,yes,good
241,above 200,24,existing paid,new car,915,0,above 7,4,female div/dep/mar,none,2,car,29,bank,own,1,skilled,1,no,yes,bad
242,above 200,6,existing paid,radio/tv,1595,below 100,4-7,3,male single,none,2,life insurance,51,none,own,1,skilled,2,no,yes,good
243,above 200,48,no credits/all paid,used car,4605,below 100,above 7,3,male single,none,4,none,24,none,for free,2,skilled,2,no,yes,bad
244,above 200,12,critical/other existing credit,business,1185,below 100,1-4,3,female div/dep/mar,none,2,real estate,27,none,own,2,skilled,1,no,yes,good
245,above 200,12,all paid,retraining,3447,500-1000,1-4,4,female div/dep/mar,none,3,real estate,35,none,own,1,unskilled resident,2,no,yes,good
246,above 200,24,existing paid,business,1258,below 100,4-7,4,male single,none,1,real estate,25,none,own,1,skilled,1,yes,yes,good
247,above 200,12,critical/other existing credit,radio/tv,717,below 100,above 7,4,male single,none,4,real estate,52,none,own,3,skilled,1,no,yes,good
248,above 200,6,no credits/all paid,new car,1204,100-500,1-4,4,male single,none,1,none,35,bank,rent,1,skilled,1,no,no,good
249,above 200,24,existing paid,furniture/equipment,1925,below 100,1-4,2,male single,none,2,real estate,26,none,own,1,skilled,1,no,yes,good
250,above 200,18,existing paid,radio/tv,433,below 100,0,3,female div/dep/mar,co applicant,4,real estate,22,none,rent,1,skilled,1,no,yes,bad
251,above 200,6,critical/other existing credit,new car,666,above 1000,4-7,3,female div/dep/mar,none,4,real estate,39,none,own,2,unskilled resident,1,yes,yes,good
252,above 200,12,existing paid,furniture/equipment,2251,below 100,1-4,1,female div/dep/mar,none,2,car,46,none,own,1,unskilled resident,1,no,yes,good
253,0-200,30,existing paid,new car,2150,below 100,1-4,4,female div/dep/mar,guarantor,2,none,24,bank,own,1,skilled,1,no,yes,bad
254,above 200,24,delayed previously,furniture/equipment,4151,100-500,1-4,2,male single,none,3,life insurance,35,none,own,2,skilled,1,no,yes,good
255,0-200,9,existing paid,furniture/equipment,2030,0,4-7,2,male single,none,1,car,24,none,own,1,skilled,1,yes,yes,good
256,0-200,60,delayed previously,radio/tv,7418,0,1-4,1,male single,none,1,real estate,27,none,own,1,unskilled resident,1,no,yes,good
257,above 200,24,critical/other existing credit,radio/tv,2684,below 100,1-4,4,male single,none,2,real estate,35,none,own,2,unskilled resident,1,no,yes,good
258,above 200,12,all paid,radio/tv,2149,below 100,1-4,4,male div/sep,none,1,none,29,none,for free,1,skilled,1,no,yes,bad
259,above 200,15,existing paid,used car,3812,100-500,below 1,1,female div/dep/mar,none,4,car,23,none,own,1,skilled,1,yes,yes,good
260,above 200,11,critical/other existing credit,radio/tv,1154,100-500,0,4,female div/dep/mar,none,4,real estate,57,none,own,3,unskilled resident,1,no,yes,good
261,above 200,12,existing paid,furniture/equipment,1657,below 100,1-4,2,male single,none,2,real estate,27,none,own,1,skilled,1,no,yes,good
262,above 200,24,existing paid,radio/tv,1603,below 100,above 7,4,female div/dep/mar,none,4,car,55,none,own,1,skilled,1,no,yes,good
263,above 200,18,critical/other existing credit,new car,5302,below 100,above 7,2,male single,none,4,none,36,none,for free,3,high qualif/self emp/mgmt,1,yes,yes,good
264,above 200,12,critical/other existing credit,education,2748,below 100,above 7,2,female div/dep/mar,none,4,none,57,bank,for free,3,unskilled resident,1,no,yes,good
265,above 200,10,critical/other existing credit,new car,1231,below 100,above 7,3,male single,none,4,real estate,32,none,own,2,unskilled resident,2,no,no,good
266,0-200,15,existing paid,radio/tv,802,below 100,above 7,4,male single,none,3,car,37,none,own,1,skilled,2,no,yes,bad
267,above 200,36,critical/other existing credit,business,6304,0,above 7,4,male single,none,4,real estate,36,none,own,2,skilled,1,no,yes,good
268,above 200,24,existing paid,radio/tv,1533,below 100,below 1,4,female div/dep/mar,none,3,car,38,stores,own,1,skilled,1,yes,yes,good
269,above 200,14,existing paid,new car,8978,below 100,above 7,1,male div/sep,none,4,life insurance,45,none,own,1,high qualif/self emp/mgmt,1,yes,no,bad
270,above 200,24,existing paid,radio/tv,999,0,above 7,4,male single,none,2,car,25,none,own,2,skilled,1,no,yes,good
271,above 200,18,existing paid,new car,2662,0,4-7,4,male single,none,3,life insurance,32,none,own,1,skilled,1,no,no,good
272,above 200,12,critical/other existing credit,furniture/equipment,1402,500-1000,4-7,3,female div/dep/mar,none,4,car,37,none,rent,1,skilled,1,yes,yes,good
273,0-200,48,all paid,new car,12169,0,0,4,male single,co applicant,4,none,36,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,good
274,0-200,48,existing paid,radio/tv,3060,below 100,4-7,4,male single,none,4,real estate,28,none,own,2,skilled,1,no,yes,bad
275,above 200,30,existing paid,repairs,11998,below 100,below 1,1,male div/sep,none,1,none,34,none,own,1,unskilled resident,1,yes,yes,bad
276,above 200,9,existing paid,radio/tv,2697,below 100,1-4,1,male single,none,2,real estate,32,none,own,1,skilled,2,no,yes,good
277,above 200,18,critical/other existing credit,radio/tv,2404,below 100,1-4,2,female div/dep/mar,none,2,car,26,none,own,2,skilled,1,no,yes,good
278,above 200,12,existing paid,furniture/equipment,1262,0,above 7,2,male div/sep,none,4,life insurance,49,none,own,1,unskilled resident,1,yes,yes,good
279,above 200,6,existing paid,furniture/equipment,4611,below 100,below 1,1,female div/dep/mar,none,4,life insurance,32,none,own,1,skilled,1,no,yes,bad
280,above 200,24,existing paid,radio/tv,1901,100-500,1-4,4,male single,none,4,car,29,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,good
281,above 200,15,critical/other existing credit,used car,3368,above 1000,above 7,3,male single,none,4,none,23,none,rent,2,skilled,1,yes,yes,good
282,above 200,12,existing paid,furniture/equipment,1574,below 100,1-4,4,male single,none,2,real estate,50,none,own,1,skilled,1,no,yes,good
283,above 200,18,all paid,radio/tv,1445,0,4-7,4,male single,none,4,car,49,bank,own,1,unskilled resident,1,no,yes,good
284,above 200,15,critical/other existing credit,furniture/equipment,1520,0,above 7,4,male single,none,4,life insurance,63,none,own,1,skilled,1,no,yes,good
285,0-200,24,critical/other existing credit,new car,3878,100-500,below 1,4,male div/sep,none,2,car,37,none,own,1,skilled,1,yes,yes,good
286,above 200,47,existing paid,new car,10722,below 100,below 1,1,female div/dep/mar,none,1,real estate,35,none,own,1,unskilled resident,1,yes,yes,good
287,above 200,48,existing paid,used car,4788,below 100,4-7,4,male single,none,3,life insurance,26,none,own,1,skilled,2,no,yes,good
288,0-200,48,delayed previously,other,7582,100-500,0,2,male single,none,4,none,31,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,good
289,0-200,12,existing paid,radio/tv,1092,below 100,1-4,4,female div/dep/mar,guarantor,4,real estate,49,none,own,2,skilled,1,yes,yes,good
290,above 200,24,delayed previously,radio/tv,1024,below 100,below 1,4,male mar/wid,none,4,real estate,48,stores,own,1,skilled,1,no,yes,bad
291,above 200,12,existing paid,business,1076,below 100,1-4,2,male mar/wid,none,2,real estate,26,none,own,1,skilled,1,yes,no,good
292,0-200,36,existing paid,used car,9398,below 100,below 1,1,male mar/wid,none,4,car,28,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,bad
293,above 200,24,critical/other existing credit,used car,6419,below 100,above 7,2,female div/dep/mar,none,4,none,44,none,for free,2,high qualif/self emp/mgmt,2,yes,yes,good
294,above 200,42,critical/other existing credit,used car,4796,below 100,above 7,4,male single,none,4,none,56,none,for free,1,skilled,1,no,yes,good
295,above 200,48,critical/other existing credit,business,7629,0,above 7,4,male div/sep,none,2,car,46,bank,own,2,high qualif/self emp/mgmt,2,no,yes,good
296,0-200,48,existing paid,furniture/equipment,9960,below 100,below 1,1,female div/dep/mar,none,2,car,26,none,own,1,skilled,1,yes,yes,bad
297,above 200,12,existing paid,used car,4675,0,below 1,1,female div/dep/mar,none,4,car,20,none,rent,1,skilled,1,no,yes,good
298,above 200,10,existing paid,new car,1287,0,above 7,4,male single,co applicant,2,life insurance,45,none,own,1,unskilled resident,1,no,no,good
299,above 200,18,existing paid,furniture/equipment,2515,below 100,1-4,3,male single,none,4,real estate,43,none,own,1,skilled,1,yes,yes,good
300,0-200,21,critical/other existing credit,furniture/equipment,2745,above 1000,4-7,3,male single,none,2,car,32,none,own,2,skilled,1,yes,yes,good
301,above 200,6,existing paid,new car,672,below 100,0,1,female div/dep/mar,none,4,real estate,54,none,own,1,unemp/unskilled non res,1,yes,yes,good
302,0-200,36,no credits/all paid,radio/tv,3804,below 100,1-4,4,female div/dep/mar,none,1,car,42,none,own,1,skilled,1,yes,yes,bad
303,above 200,24,critical/other existing credit,new car,1344,0,4-7,4,male single,none,2,real estate,37,bank,own,2,unskilled resident,2,no,yes,bad
304,above 200,10,critical/other existing credit,new car,1038,below 100,4-7,4,male single,co applicant,3,life insurance,49,none,own,2,skilled,1,yes,yes,good
305,above 200,48,critical/other existing credit,new car,10127,500-1000,1-4,2,male single,none,2,none,44,bank,for free,1,skilled,1,no,yes,bad
306,above 200,6,existing paid,furniture/equipment,1543,above 1000,1-4,4,male div/sep,none,2,real estate,33,none,own,1,skilled,1,no,yes,good
307,above 200,30,existing paid,used car,4811,0,4-7,2,female div/dep/mar,none,4,life insurance,24,stores,rent,1,unskilled resident,1,no,yes,good
308,above 200,12,existing paid,radio/tv,727,100-500,below 1,4,male mar/wid,none,3,none,33,none,own,1,unskilled resident,1,yes,yes,bad
309,0-200,8,existing paid,furniture/equipment,1237,below 100,1-4,3,female div/dep/mar,none,4,real estate,24,none,own,1,skilled,1,no,yes,bad
310,0-200,9,existing paid,new car,276,below 100,1-4,4,male mar/wid,none,4,real estate,22,none,rent,1,unskilled resident,1,no,yes,good
311,0-200,48,existing paid,other,5381,0,0,3,male single,none,4,none,40,bank,for free,1,unemp/unskilled non res,1,yes,yes,good
312,above 200,24,existing paid,furniture/equipment,5511,100-500,1-4,4,male single,none,1,car,25,stores,own,1,skilled,1,no,yes,good
313,above 200,24,existing paid,furniture/equipment,3749,below 100,below 1,2,female div/dep/mar,none,4,car,26,none,own,1,skilled,1,no,yes,good
314,0-200,12,existing paid,new car,685,below 100,4-7,2,male mar/wid,none,3,car,25,bank,own,1,unskilled resident,1,no,yes,bad
315,above 200,4,existing paid,new car,1494,0,below 1,1,male single,none,2,real estate,29,none,own,1,unskilled resident,2,no,no,good
316,above 200,36,all paid,furniture/equipment,2746,below 100,above 7,4,male single,none,4,car,31,bank,own,1,skilled,1,no,yes,bad
317,above 200,12,existing paid,furniture/equipment,708,below 100,1-4,2,male single,guarantor,3,life insurance,38,none,own,1,unskilled resident,2,no,yes,good
318,0-200,24,existing paid,furniture/equipment,4351,0,1-4,1,female div/dep/mar,none,4,life insurance,48,none,own,1,unskilled resident,1,yes,yes,good
319,above 200,12,critical/other existing credit,education,701,below 100,1-4,4,male single,none,2,car,32,none,own,2,skilled,1,no,yes,good
320,above 200,15,delayed previously,furniture/equipment,3643,below 100,above 7,1,female div/dep/mar,none,4,life insurance,27,none,own,2,unskilled resident,1,no,yes,good
321,0-200,30,critical/other existing credit,new car,4249,below 100,0,4,male mar/wid,none,2,car,28,none,own,2,high qualif/self emp/mgmt,1,no,yes,bad
322,above 200,24,existing paid,radio/tv,1938,below 100,below 1,4,male div/sep,none,3,life insurance,32,none,own,1,skilled,1,no,yes,bad
323,above 200,24,existing paid,used car,2910,below 100,4-7,2,male single,none,1,none,34,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,good
324,above 200,18,existing paid,furniture/equipment,2659,above 1000,1-4,4,male single,none,2,car,28,none,own,1,skilled,1,no,yes,good
325,above 200,18,critical/other existing credit,new car,1028,below 100,1-4,4,female div/dep/mar,none,3,real estate,36,none,own,2,skilled,1,no,yes,good
326,above 200,8,critical/other existing credit,new car,3398,below 100,4-7,1,male single,none,4,real estate,39,none,own,2,unskilled resident,1,no,no,good
327,above 200,12,critical/other existing credit,furniture/equipment,5801,0,above 7,2,male single,none,4,life insurance,49,none,rent,1,skilled,1,yes,yes,good
328,above 200,24,existing paid,new car,1525,above 1000,4-7,4,female div/dep/mar,none,3,car,34,none,own,1,skilled,2,yes,yes,good
329,above 200,36,existing paid,radio/tv,4473,below 100,above 7,4,male single,none,2,car,31,none,own,1,skilled,1,no,yes,good
330,0-200,6,existing paid,radio/tv,1068,below 100,above 7,4,male single,none,4,car,28,none,own,1,skilled,2,no,yes,good
331,above 200,24,critical/other existing credit,used car,6615,below 100,0,2,male single,none,4,none,75,none,for free,2,high qualif/self emp/mgmt,1,yes,yes,good
332,above 200,18,critical/other existing credit,education,1864,100-500,1-4,4,female div/dep/mar,none,2,real estate,30,none,own,2,skilled,1,no,yes,bad
333,0-200,60,existing paid,new car,7408,100-500,below 1,4,female div/dep/mar,none,2,life insurance,24,none,own,1,high qualif/self emp/mgmt,1,no,yes,bad
334,above 200,48,critical/other existing credit,used car,11590,100-500,1-4,2,female div/dep/mar,none,4,car,24,bank,rent,2,unskilled resident,1,no,yes,bad
335,above 200,24,no credits/all paid,furniture/equipment,4110,below 100,above 7,3,male single,none,4,none,23,bank,rent,2,skilled,2,no,yes,bad
336,above 200,6,critical/other existing credit,furniture/equipment,3384,below 100,1-4,1,male div/sep,none,4,real estate,44,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,bad
337,0-200,13,existing paid,radio/tv,2101,below 100,below 1,2,female div/dep/mar,guarantor,4,life insurance,23,none,own,1,unskilled resident,1,no,yes,good
338,above 200,15,existing paid,domestic appliance,1275,0,1-4,4,female div/dep/mar,none,2,car,24,none,rent,1,skilled,1,no,yes,bad
339,above 200,24,existing paid,furniture/equipment,4169,below 100,1-4,4,male single,none,4,life insurance,28,none,own,1,skilled,1,no,yes,good
340,0-200,10,existing paid,furniture/equipment,1521,below 100,1-4,4,male div/sep,none,2,car,31,none,own,1,unskilled resident,1,no,yes,good
341,0-200,24,critical/other existing credit,education,5743,below 100,below 1,2,female div/dep/mar,none,4,none,24,none,for free,2,skilled,1,yes,yes,good
342,above 200,21,existing paid,furniture/equipment,3599,below 100,4-7,1,female div/dep/mar,none,4,car,26,none,rent,1,unskilled resident,1,no,yes,good
343,0-200,18,existing paid,radio/tv,3213,500-1000,below 1,1,male mar/wid,none,3,real estate,25,none,rent,1,skilled,1,no,yes,good
344,0-200,18,existing paid,business,4439,below 100,above 7,1,male single,co applicant,1,real estate,33,bank,own,1,high qualif/self emp/mgmt,1,yes,yes,good
345,above 200,10,existing paid,new car,3949,below 100,below 1,1,male single,guarantor,1,life insurance,37,none,own,1,unskilled resident,2,no,yes,good
346,above 200,15,critical/other existing credit,radio/tv,1459,below 100,1-4,4,female div/dep/mar,none,2,car,43,none,own,1,unskilled resident,1,no,yes,good
347,0-200,13,critical/other existing credit,radio/tv,882,below 100,below 1,4,male single,guarantor,4,real estate,23,none,own,2,skilled,1,no,yes,good
348,0-200,24,existing paid,radio/tv,3758,500-1000,0,1,female div/dep/mar,none,4,none,23,none,rent,1,unemp/unskilled non res,1,no,yes,good
349,above 200,6,delayed previously,business,1743,100-500,1-4,1,male single,none,2,real estate,34,none,own,2,unskilled resident,1,no,yes,good
350,0-200,9,critical/other existing credit,education,1136,above 1000,above 7,4,male single,none,3,none,32,none,for free,2,skilled,2,no,yes,bad
351,above 200,9,existing paid,domestic appliance,1236,below 100,below 1,1,female div/dep/mar,none,4,real estate,23,none,rent,1,skilled,1,yes,yes,good
352,0-200,9,existing paid,furniture/equipment,959,below 100,1-4,1,female div/dep/mar,none,2,car,29,none,own,1,skilled,1,no,no,bad
353,above 200,18,critical/other existing credit,used car,3229,0,0,2,male single,none,4,none,38,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
354,above 200,12,no credits/all paid,radio/tv,6199,below 100,1-4,4,male single,none,2,life insurance,28,none,rent,2,skilled,1,yes,yes,bad
355,above 200,10,existing paid,education,727,500-1000,above 7,4,male single,none,4,none,46,none,for free,1,skilled,1,yes,yes,good
356,0-200,24,existing paid,new car,1246,below 100,below 1,4,male single,none,2,real estate,23,stores,own,1,unskilled resident,1,no,yes,bad
357,above 200,12,critical/other existing credit,radio/tv,2331,0,above 7,1,male single,co applicant,4,real estate,49,none,own,1,skilled,1,yes,yes,good
358,above 200,36,delayed previously,radio/tv,4463,below 100,1-4,4,male single,none,2,car,26,none,own,2,high qualif/self emp/mgmt,1,yes,yes,bad
359,above 200,12,existing paid,radio/tv,776,below 100,1-4,4,male mar/wid,none,2,real estate,28,none,own,1,skilled,1,no,yes,good
360,above 200,30,existing paid,furniture/equipment,2406,below 100,4-7,4,female div/dep/mar,none,4,real estate,23,none,rent,1,skilled,1,no,yes,bad
361,0-200,18,existing paid,education,1239,0,1-4,4,male single,none,4,none,61,none,for free,1,skilled,1,no,yes,good
362,above 200,12,existing paid,radio/tv,3399,0,above 7,2,male single,none,3,car,37,none,own,1,high qualif/self emp/mgmt,1,no,yes,good
363,above 200,12,delayed previously,new car,2247,below 100,1-4,2,female div/dep/mar,none,2,car,36,stores,own,2,skilled,1,yes,yes,good
364,above 200,6,existing paid,furniture/equipment,1766,below 100,1-4,1,male mar/wid,none,2,life insurance,21,none,rent,1,skilled,1,no,yes,good
365,above 200,18,existing paid,furniture/equipment,2473,below 100,0,4,male single,none,1,car,25,none,own,1,unemp/unskilled non res,1,no,yes,bad
366,above 200,12,existing paid,business,1542,below 100,4-7,2,male single,none,4,car,36,none,own,1,skilled,1,yes,yes,good
367,above 200,18,critical/other existing credit,used car,3850,below 100,4-7,3,male single,none,1,car,27,none,own,2,skilled,1,no,yes,good
368,above 200,18,existing paid,furniture/equipment,3650,below 100,below 1,1,female div/dep/mar,none,4,car,22,none,rent,1,skilled,1,no,yes,good
369,above 200,36,existing paid,furniture/equipment,3446,below 100,above 7,4,male single,none,2,car,42,none,own,1,skilled,2,no,yes,bad
370,0-200,18,existing paid,furniture/equipment,3001,below 100,4-7,2,female div/dep/mar,none,4,real estate,40,none,rent,1,skilled,1,no,yes,good
371,above 200,36,existing paid,new car,3079,0,1-4,4,male single,none,4,real estate,36,none,own,1,skilled,1,no,yes,good
372,above 200,18,critical/other existing credit,radio/tv,6070,below 100,above 7,3,male single,none,4,car,33,none,own,2,skilled,1,yes,yes,good
373,above 200,10,critical/other existing credit,furniture/equipment,2146,below 100,below 1,1,female div/dep/mar,none,3,real estate,23,none,rent,2,skilled,1,no,yes,good
374,above 200,60,critical/other existing credit,new car,13756,0,above 7,2,male single,none,4,none,63,bank,for free,1,high qualif/self emp/mgmt,1,yes,yes,good
375,0-200,60,all paid,other,14782,100-500,above 7,3,female div/dep/mar,none,4,none,60,bank,for free,2,high qualif/self emp/mgmt,1,yes,yes,bad
376,above 200,48,all paid,business,7685,below 100,4-7,2,female div/dep/mar,guarantor,4,car,37,none,rent,1,skilled,1,no,yes,bad
377,above 200,18,delayed previously,radio/tv,2320,below 100,0,2,male mar/wid,none,3,real estate,34,none,own,2,skilled,1,no,yes,good
378,above 200,7,delayed previously,radio/tv,846,0,above 7,3,male single,none,4,none,36,none,for free,1,skilled,1,no,yes,good
379,0-200,36,existing paid,new car,14318,below 100,above 7,4,male single,none,2,none,57,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,bad
380,above 200,6,critical/other existing credit,new car,362,100-500,1-4,4,female div/dep/mar,none,4,car,52,none,own,2,unskilled resident,1,no,yes,good
381,above 200,20,existing paid,furniture/equipment,2212,0,4-7,4,male single,none,4,car,39,none,own,1,skilled,1,yes,yes,good
382,0-200,18,existing paid,used car,12976,below 100,0,3,female div/dep/mar,none,4,none,38,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,bad
383,above 200,22,existing paid,new car,1283,0,4-7,4,female div/dep/mar,none,4,life insurance,25,none,rent,1,skilled,1,no,yes,good
384,above 200,12,existing paid,new car,1330,below 100,below 1,4,male single,none,1,real estate,26,none,own,1,skilled,1,no,yes,good
385,above 200,30,delayed previously,business,4272,100-500,1-4,2,male single,none,2,life insurance,26,none,own,2,unskilled resident,1,no,yes,good
386,above 200,18,critical/other existing credit,radio/tv,2238,below 100,1-4,2,female div/dep/mar,none,1,car,25,none,own,2,skilled,1,no,yes,good
387,above 200,18,existing paid,radio/tv,1126,0,below 1,4,female div/dep/mar,none,2,real estate,21,none,rent,1,skilled,1,yes,yes,good
388,0-200,18,critical/other existing credit,furniture/equipment,7374,below 100,0,4,male single,none,4,life insurance,40,stores,own,2,high qualif/self emp/mgmt,1,yes,yes,good
389,0-200,15,critical/other existing credit,business,2326,500-1000,1-4,2,male single,none,4,car,27,bank,own,1,skilled,1,no,yes,good
390,above 200,9,existing paid,business,1449,below 100,4-7,3,female div/dep/mar,none,2,car,27,none,own,2,skilled,1,no,yes,good
391,above 200,18,existing paid,new car,1820,below 100,1-4,2,male mar/wid,none,2,life insurance,30,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
392,0-200,12,existing paid,furniture/equipment,983,above 1000,below 1,1,female div/dep/mar,none,4,real estate,19,none,rent,1,unskilled resident,1,no,yes,good
393,above 200,36,existing paid,new car,3249,below 100,4-7,2,male single,none,4,none,39,bank,for free,1,high qualif/self emp/mgmt,2,yes,yes,good
394,above 200,6,critical/other existing credit,radio/tv,1957,below 100,4-7,1,female div/dep/mar,none,4,car,31,none,own,1,skilled,1,no,yes,good
395,above 200,9,critical/other existing credit,furniture/equipment,2406,below 100,0,2,male single,none,3,car,31,none,own,1,high qualif/self emp/mgmt,1,no,yes,good
396,0-200,39,delayed previously,education,11760,100-500,4-7,2,male single,none,3,none,32,none,rent,1,skilled,1,yes,yes,good
397,above 200,12,existing paid,furniture/equipment,2578,below 100,0,3,female div/dep/mar,none,4,none,55,none,for free,1,high qualif/self emp/mgmt,1,no,yes,good
398,above 200,36,critical/other existing credit,furniture/equipment,2348,below 100,1-4,3,male mar/wid,none,2,life insurance,46,none,own,2,skilled,1,yes,yes,good
399,0-200,12,existing paid,new car,1223,below 100,above 7,1,male div/sep,none,1,real estate,46,none,rent,2,skilled,1,no,yes,bad
400,above 200,24,critical/other existing credit,radio/tv,1516,above 1000,1-4,4,female div/dep/mar,none,1,real estate,43,none,own,2,unskilled resident,1,no,yes,good
